inductor_and_resistor_in_series,,,
freqeuncy _hz,ch_1_v,ch_2_v,phase 
1000,30,22,5.11
2000,30,22,9.04
3000,30,21.6,12.7
4000,30.4,21.6,19
5000,30.8,21.2,20.5
6000,31.2,21.2,23.9
7000,31.6,20.8,28.4
8000,32.4,20.8,32.1
9000,32.8,20.4,33.8
10000,33.6,20,37.2
11000,35.6,20,37.5
12000,36,19.6,38.7
13000,36.4,19.2,40.1
14000,37.2,18.8,42.8
15000,38,18.4,44.9
