inductor_15_mH,,,
freqeuncy _hz,ch_1_v,ch_2_v,phase 
1000,7.6,46,43.2
2000,11.2,45.2,59
3000,14.8,44,69.4
4000,18.8,43.2,76.1
5000,22,42,78.6
6000,25.2,40.4,80.5
7000,27.6,39.2,81.8
8000,30,37.6,84
9000,32.4,36,84
10000,34.4,34.8,84.5
11000,38.8,33.2,76.8
12000,40,31.6,78.1
13000,41.2,30.4,79.6
14000,42,29.2,80.1
15000,42.8,28,80.8
