capcitor_14_78_nF,,,
freqeuncy _hz,ch_1_v,ch_2_v,phase 
1000,50.8,4.8,-81.2
2000,50.8,9.6,-90
3000,49.6,13.6,-90.3
4000,49,18,-92.3
5000,46.4,21.6,-91.3
6000,44.8,24.8,-91.1
7000,43.2,27.6,-91.2
8000,41.2,30,-90.6
9000,39.6,32,-90.3
10000,37.6,34,-89.7
11000,35.6,38.4,-80.7
12000,34,39.6,-82
13000,32.4,40.4,-82.7
14000,31.2,41.6,-82.8
15000,30,42.4,-84.1
