inductor_and_capacitor_in_parallel,,,
freqeuncy _hz,ch_1_v,ch_2_v,phase 
1000,7.6,46,38.6
2000,11.6,44.8,61.1
3000,15.6,43.2,68.9
4000,20.4,41.2,73.4
5000,25.6,38,76.4
6000,30.4,34,75.5
7000,35.2,28.4,74.7
8000,39.2,22,71.4
9000,42.8,14.4,64.1
10000,45.2,7.6,41
11000,47.2,8.4,-21.4
12000,46,15.6,-56.1
13000,44.4,20.8,-68.2
14000,42.4,25.6,-74
15000,40.4,29.6,-77.1
