capcitor_and_resistor_in_series,,,
freqeuncy _hz,ch_1_v,ch_2_v,phase 
1000,50.8,4.8,-75.9
2000,48.8,8.8,-76.3
3000,46.4,12,-71.1
4000,43.6,14.4,-64.8
5000,41.2,16.4,-61.9
6000,39.2,18,-56.9
7000,37.6,18.8,-51.3
8000,36.4,19.2,-49.3
9000,35.2,20,-45.5
10000,34,20.4,-43.2
11000,32.8,22,-33.4
12000,32.4,22,-32.7
13000,32,22,-31.1
14000,31.6,22.4,-28.9
15000,31.2,22.4,-27
